question_id,answer,percentage
219,"Money",31
219,"Work",24
219,"Romance",24
219,"Fashion",7
219,"Parenting",5
219,"Relationships",3
220,"Name",49
220,"Hair Color",19
220,"Economic Status",13
220,"Attitude",7
220,"Nose",6
220,"Religion",3
221,"Piano",39
221,"Drums",29
221,"Guitar",15
221,"Violin",5
221,"Flute",4
221,"Saxophone",3
222,"Humor/Comics",31
222,"Romance",19
222,"History",17
222,"Horror",12
222,"Self Help",11
222,"Sci Fi/Fantasy",3
223,"Umbrella",38
223,"Sunscreen",36
223,"Sun Hat",14
223,"Sunglasses",5
223,"Cover Up",3
223,"Shade",3
224,"Cow",47
224,"Pig",34
224,"Goat",6
224,"Chicken",5
224,"Horse",3
224,"Sheep",3
225,"Jewlery",48
225,"Flowers",17
225,"Clothing",10
225,"Money",8
225,"Perfume",6
225,"Shoes",4
226,"Jewelry",36
226,"TV",24
226,"Watch",17
226,"Gun",11
226,"Musical Instrument",5
226,"Stereo",4
227,"Lu’au",30
227,"Dance",28
227,"Surf",14
227,"Party",11
227,"Decorate",8
227,"Swim",3
228,"Speeches",35
228,"Legislative Process",18
228,"Wars",14
228,"Election Process",14
228,"Political Terms",8
228,"The Recession",5
229,"Traffic Jam",33
229,"Get Gas",27
229,"Your Destination",17
229,"Accident",9
229,"Restroom",7
229,"To Eat",4
230,"Eggs",35
230,"Coffee",30
230,"Pancakes",16
230,"Bacon",6
230,"Juice",4
230,"Toast",4
231,"Car",36
231,"Pet",23
231,"Money",19
231,"Jewelry",12
231,"House",8
231,"TV/Movie Role",3
232,"Ice Cream",26
232,"Ribs",25
232,"Spaghetti",25
232,"Sloppy Joe",10
232,"Pizza",5
232,"Watermelon",4
233,"Godzilla",63
233,"King Kong",31
233,"Frankenstein",16
233,"Dracula",7
233,"Mummy",5
233,"Werewolf",4
234,"Christmas",47
234,"Valentine’s Day",15
234,"Thanksgiving",13
234,"New Year’s",12
234,"Halloween",7
234,"4th Of July",5
235,"Florida",34
235,"California",18
235,"Colorado",18
235,"Hawaii",13
235,"New York",6
235,"Alaska",4
236,"Carnival Goers",27
236,"Pig/Animal",21
236,"Pumpkin/Squash",18
236,"Jar Of Candy",14
236,"Melon",11
236,"Baby",7
237,"Flying Umbrella",44
237,"Sing",23
237,"Dance",8
237,"Spoonful Of sugar",7
237,"British Accent",6
237,"Babysit",4
238,"Religous Activity",25
238,"Sports",21
238,"Reading",18
238,"Family Meals",14
238,"Board Games",10
238,"Baking/Cooking",9
239,"Monkey",27
239,"Lion",25
239,"Tiger",22
239,"Elephant",11
239,"Giraffe",6
239,"Bear",5
240,"Cleaning",47
240,"Food",10
240,"Money",10
240,"Space",10
240,"music",7
240,"Bedtime",7
241,"Server",58
241,"Valet service",13
241,"Hairdresser",12
241,"Taxi driver",7
241,"Bartender",5
241,"Bellhop",4
242,"Coconuts",35
242,"Seafood",19
242,"Bananas",14
242,"Pineapples",12
242,"Bugs",7
242,"Berries",6
243,"Bear",51
243,"Snake",24
243,"Criminal",12
243,"Mountain Lion",5
243,"Wolf",3
243,"Big Foot",3
244,"Dog",76
244,"Cat",12
244,"Fish",3
244,"Rabbit",2
244,"Hamster",2
244,"Bird",2
245,"Beach/Park",35
245,"Pool",24
245,"Shoe Store",15
245,"Gym",11
245,"Place Of Worship",6
245,"Bowling alley",4
246,"Football",52
246,"Baseball",13
246,"Hockey",12
246,"Basketball",11
246,"Soccer",8
246,"Boxing",4
247,"Parent",43
247,"Boss",19
247,"Sibling",18
247,"Ex",10
247,"Best Friend",5
247,"Boy/Girlfriend",3
248,"Tent",49
248,"Sleeping Bag",18
248,"Food",11
248,"Water",10
248,"Matches",6
248,"Bug Spray",4
249,"Cow",39
249,"Dog",22
249,"Pig",12
249,"Donkey",10
249,"Elephant",7
249,"Camel",4
250,"Giraffe",59
250,"Ostrich",11
250,"Frog",9
250,"Horse",8
250,"Gazelle",7
250,"Camel",5
251,"Computer",39
251,"Cell Phone",18
251,"TV",17
251,"Camera",9
251,"DVD Player",6
251,"Car",4
252,"Tiara",63
252,"Dress",17
252,"Magic Wand",5
252,"Makeup",4
252,"Jewelry",3
252,"Charm",2
253,"Monopoly",50
253,"Life",16
253,"Scrabble",11
253,"Risk",9
253,"Chess",5
253,"Checkers",4
254,"Blueberry",46
254,"Strawberry",32
254,"Raspberry",4
254,"Boisenberry",4
254,"Grape",3
254,"Cherry",3
255,"Jennifer Lopez",23
255,"Debbie Allen",16
255,"Janet Jackson",16
255,"Britney Spears",16
255,"John Travolta",12
255,"Christina Agulera",8
256,"Wash Dishes",42
256,"Laundry",16
256,"Vacuum",12
256,"Cook",9
256,"Sweep",7
256,"Clean Bathroom",6
257,"Change Hair",28
257,"Diet",25
257,"Put On Makeup",20
257,"Plastic Surgery",13
257,"Exercise",5
257,"Clean Up",3
258,"Low End Job",30
258,"Clean/Laundry",26
258,"Borrow Money",17
258,"Fly Economy",8
258,"Buy Used",8
258,"Clip Coupons",6
259,"Cook Dinner",48
259,"Give A Massage",17
259,"Giver Her Flowers",16
259,"Prepare A Bath",8
259,"take Her Out",4
259,"Comfort Her",4
260,"Have A drink",38
260,"rehearse",32
260,"Imagine crowd Naked",12
260,"Deep Breaths",5
260,"Mediate",5
260,"Count To 10",3
261,"Dog",30
261,"Bird",24
261,"Monkey",23
261,"Cat",11
261,"Lion",5
261,"Cow",4
262,"Lifeguard",34
262,"Security Guard",27
262,"Bodyguard",19
262,"Prison Guard",7
262,"National Guard",5
262,"Crossing Guard",4
263,"Tomatoes",34
263,"Carrots",33
263,"Lettuce",14
263,"Corn",8
263,"Potatoes",4
263,"Cucumber",4
264,"Remote Control",47
264,"Magazines",18
264,"Telephone",11
264,"Newspaper",10
264,"Books",9
264,"Drink",5
265,"Eating",59
265,"Homework",19
265,"Cleaning/Chores",5
265,"Growing Up",4
265,"Talking",4
265,"Driving",3
266,"Lawn Mower",42
266,"Hoe",26
266,"Shovel",8
266,"Hose",7
266,"Rake",6
266,"Edger",4
267,"Pumpkin",33
267,"Glass",28
267,"Bugs",13
267,"Cans",10
267,"Potatoes",5
267,"Eggs",4
268,"Breakfast",42
268,"Makeup",14
268,"Shower",14
268,"Doing Dishes",11
268,"Coffee",6
268,"Exercise",5
269,"Nose",37
269,"Eyes",23
269,"Hands",18
269,"Hair",8
269,"Mouth",5
269,"Feet",5
270,"Cape",48
270,"Tights",29
270,"Make Up",4
270,"Speedo",4
270,"Fake Muscles",4
270,"Glasses",3
271,"Sleigh Ride",36
271,"Make Toys",26
271,"Eat Cookies",19
271,"Deliver Presents",7
271,"Sit On His Lap",5
271,"Go To North Pole",4
272,"Golf Clubs",58
272,"Golf Balls",21
272,"Hat",5
272,"Golf Bag",4
272,"Golf Cart",3
272,"Golf Shirt",3
273,"Consume Sweets",49
273,"Smoke",23
273,"Wiggle",9
273,"Swallow",8
273,"Bite Down",5
273,"Grind Teeth",3
274,"Cat",54
274,"Bird",27
274,"Fish",7
274,"Lizard",4
274,"Rat/Mouse",3
274,"Hamster",3
275,"Chips",28
275,"Popcorn",25
275,"Peanuts",12
275,"Pizza",10
275,"Crackers",5
275,"Ice Cream",3
276,"Travel",35
276,"Get Married",33
276,"Go Back To School",12
276,"Move Back Home",8
276,"Party",5
276,"Join The Military",3
277,"Rides",43
277,"People",24
277,"Games/Prizes",15
277,"Junk Food",8
277,"Rest Rooms",4
277,"Lines",3
278,"Big Foot",34
278,"King Kong",17
278,"Godzilla",14
278,"dragon",14
278,"Unicorn",11
278,"Loch Ness Monster",8
279,"Sew",44
279,"Wash Clothes",19
279,"Wash Dishes",10
279,"Write",10
279,"Saw",5
279,"Math",4
280,"Laundry",27
280,"Dancing",21
280,"Mouth/Language",17
280,"Harry",12
280,"Job",8
280,"mind",6
281,"Stores",45
281,"People",19
281,"Entertainment",13
281,"Crime",7
281,"Traffic",7
281,"Money",6
282,"June",44
282,"May",27
282,"july",9
282,"April",6
282,"October",4
282,"November",4
283,"Breath",40
283,"Horses",30
283,"Tongue",9
283,"Hand",8
283,"Nose",3
283,"Own",3
284,"Skirt",35
284,"Shirt",31
284,"Pants",8
284,"Shorts",8
284,"Jacket",6
284,"Pajamas",6
285,"Truck",19
285,"Uniform",18
285,"Clip Board",18
285,"Drivers License",16
285,"Packages",11
285,"Pen",11
286,"Chicken Pox",38
286,"Cold",32
286,"Measles",13
286,"Lice",7
286,"Mumps",5
286,"Pink Eye",3
287,"Urinate On Self",27
287,"Urinate In Bed",25
287,"Pick Nose In Public",24
287,"Cry",7
287,"Nothing",4
287,"Play In Dirt",4
288,"Doctor",40
288,"Mickey Mouse",16
288,"Nurse",14
288,"Dentist",9
288,"Band Instructor",7
288,"Police Officer",6
289,"Prime Time",54
289,"Prime Rib",22
289,"Prime Interest Rate",5
289,"Prime Minister",5
289,"prime Number",3
289,"Prime Example",3
290,"Driver’s License",28
290,"Graduation",23
290,"16th Birthday",14
290,"First Kiss",13
290,"First Car",12
290,"Prom",10
291,"Computer",46
291,"Video Player",21
291,"Hearing Aid",11
291,"Microwave",8
291,"Telephone",5
291,"Remote Control",2
292,"Doctor",57
292,"Cook",13
292,"Nurse",8
292,"Dentist",5
292,"Mechanic",5
292,"Restaurant Worker",5
293,"Meow",43
293,"Catch Mice",16
293,"Climb Tree",10
293,"Eat Cat Food",8
293,"Purr",8
293,"Scratching",8
294,"Eating",34
294,"Showing Affection",25
294,"Picking Nose",11
294,"Wearing Swimsuit",9
294,"Drinking",9
294,"Sleeping",8
295,"Names",31
295,"Feeding",26
295,"Labor Pain",15
295,"Potty Training",10
295,"Must Have Items",9
295,"Sleeping Schedule",7
296,"Got In A Fight",35
296,"Being Sick",21
296,"Talk Back To Teacher",16
296,"Bring A Weapon",9
296,"Swearing",7
296,"Smoking",4
297,"Hot Chocolate",49
297,"Hot Bath",15
297,"Sit By Fire",13
297,"Change Clothes",9
297,"Blanket",8
297,"Soup",3
298,"Rocks",25
298,"Animals",19
298,"Poop",17
298,"Hose",14
298,"Toys",9
298,"Sprinkler",7
299,"Pose",35
299,"Work Out",30
299,"Act",13
299,"Dress Up",8
299,"Fight",7
299,"Strut",4
300,"Cat",30
300,"Deer",20
300,"Horse",19
300,"Bird",13
300,"lion",9
300,"swan",3
301,"Flashlight",30
301,"Map",18
301,"Umbrella",14
301,"Registration",13
301,"Sunglasses",11
301,"Tissues",8
302,"Too Much Smoke",27
302,"Noise",23
302,"Bad Service",18
302,"Watery Drinks",8
302,"Expensive Drinks",7
302,"Too Rowdy",6
303,"Shorts",37
303,"Flip Flops",18
303,"Sunglasses",14
303,"Sunblock",10
303,"Hat",9
303,"Towel",6
304,"Money/Bills",36
304,"Chores/Nagging",22
304,"Jealousy",15
304,"No/Bad Food",13
304,"Naughty Kids",6
304,"Traffic",4
305,"Weeds",56
305,"Dog Poop",12
305,"Grass",10
305,"Leaves",8
305,"Bugs",4
305,"Trash",3
306,"Big Ears",33
306,"Disneyland",24
306,"Minnie Mouse",21
306,"Cartoons",8
306,"Donald Duck",6
306,"Walt Disney",5
307,"MGM Lion",20
307,"Exxon Tiger",17
307,"Budweiser Eagle",15
307,"Energizer Bunny",13
307,"RCA dog",11
307,"Walt Disney Mouse",11
308,"Watermelon",24
308,"Milk",17
308,"Potatoes",15
308,"Turkey",14
308,"Pet Food",13
308,"Water",10
309,"Sunglasses",39
309,"Hat",19
309,"Trench Coat",18
309,"Wig",9
309,"Badge",5
309,"Weapon",4
310,"Say Ho Ho Ho",42
310,"Drive A Sleigh",21
310,"Climb Down Chimney",11
310,"made A List",8
310,"Work With Reindeer",7
310,"Wear His Suit",4
311,"Tasmanian Devil",33
311,"Mickey Mouse",23
311,"Bugs Bunny",21
311,"Pepe Le Pew",7
311,"Road Runner",6
311,"Wile E Coyote",4
312,"Bar",29
312,"Airplane",19
312,"Casino",18
312,"Military Base",12
312,"School",10
312,"Work",8
313,"Deer",70
313,"Moose",10
313,"Bear",6
313,"Bull",4
313,"Raccoon",2
313,"Antelope",2
314,"Leaning Tower of Pisa",41
314,"Sistine Chapel",15
314,"Museums",14
314,"Rome",12
314,"Gondolas",10
314,"Architecture",8
315,"Call 911",47
315,"Get a Gun",24
315,"Get a baseball bat",9
315,"Scream",8
315,"Run and hide",3
315,"Ask who is there?",2
316,"Bathroom",31
316,"Closet",25
316,"Basement",19
316,"Garage",12
316,"Laundry room",5
316,"Attic",4
317,"Sailboat",32
317,"Canoe",30
317,"Rowboat",18
317,"Paddleboat",10
317,"Raft",3
317,"Barge",2
318,"Dye it",31
318,"Curl it",27
318,"Wash it",13
318,"Cut it",10
318,"Brush it",9
318,"Braid it",4
319,"Boston",48
319,"Baltimore",31
319,"Birmingham",7
319,"Boise",3
319,"Brooklyn",3
319,"Buffalo",2
320,"Red Meat",37
320,"Fried Food",25
320,"Sweets",18
320,"Pizza",8
320,"Eggs",5
320,"Butter",4
321,"Address",33
321,"Size of family",22
321,"How noisy",15
321,"Pets",12
321,"Evening activities",11
321,"Car you drive",5
322,"Bugs Bunny",51
322,"Gun",17
322,"Stuttering",11
322,"Hunting",8
322,"Bald",4
322,"Cartoon",3
323,"Pinocchio",41
323,"Singing",14
323,"Insect",13
323,"Top hat",9
323,"Walt Disney",9
323,"Cartoons",6
324,"Dick Clark",76
324,"Regis Philbin",6
324,"Carson Daly",5
324,"Ryan Seacrest",4
324,"Jay Leno",4
324,"Casey Kasem",3
325,"Friends",40
325,"Boss",28
325,"Teacher",17
325,"Doctor",4
325,"Partner",4
325,"Clergy",3
326,"Stapler",61
326,"Pens",22
326,"Money",6
326,"Paper",3
326,"Paper Clips",3
326,"Computer",3
327,"Funeral",48
327,"Church",17
327,"Library",16
327,"Serious movie",5
327,"Hospital",5
327,"Court",4
328,"Drunk people",35
328,"Smoke",30
328,"Loud",16
328,"Dark",7
328,"Fights",6
328,"Crowded",3
329,"Wear a hat",54
329,"Tie it back",15
329,"Cry",11
329,"Get it wet",7
329,"Stay home",6
329,"Cut it",3
330,"Jesus",59
330,"Gandhi",15
330,"President Bush",7
330,"Martin Luther King, Jr.",5
330,"Moses",4
330,"Dalai Lama",3
331,"Pick nose",31
331,"Undress",23
331,"Pick teeth",20
331,"Pose",11
331,"Skin care",10
331,"Dance",3
332,"Clean up mess",34
332,"Take out trash",22
332,"Dishes",14
332,"Laundry",12
332,"Make bed",6
332,"Eat better",5
333,"Lion",63
333,"Tiger",19
333,"Bear",6
333,"Gorilla",4
333,"Giraffe",3
333,"Elephant",3
334,"Dancer",30
334,"Police Officer",24
334,"Doctor/Nurse",23
334,"Waitress",10
334,"Athlete",7
334,"Fitness instructor",4
335,"Drive",33
335,"Fish/Hunt",21
335,"Shave",19
335,"Ride bike",16
335,"Curse",3
335,"Fix things",3
336,"Helmet",43
336,"Knee pads",18
336,"Protective cup",13
336,"Elbow pads",10
336,"Goggles",10
336,"Gloves",4
337,"Orange",47
337,"Apple",26
337,"Lemon",9
337,"Cranberry",5
337,"Tomato",3
337,"Grapefruit",3
338,"Grey wig",46
338,"Cane",18
338,"Glasses",13
338,"Old dress",9
338,"Shawl/Scarf",8
338,"Handbag",4
339,"Gun",46
339,"Parasol",17
339,"Pitchfork",12
339,"Cane",8
339,"Fan",7
339,"Hat",4
340,"Shoes",54
340,"Car",12
340,"A 50 foot man",11
340,"Bed",8
340,"Sunglasses",5
340,"House",4
341,"Sick",40
341,"Exercise/Lifting",31
341,"Tired/slept wrong",11
341,"Arthritis/old age",6
341,"Stress",5
341,"Injury",4
342,"Instant Coffee",41
342,"Instant Oatmeal",24
342,"Instant Rice",13
342,"Instant Pudding",11
342,"Instant Potatoes",6
342,"Instant Photo",5
343,"Darth Vader",27
343,"Lightsaber",17
343,"Spaceships",17
343,"R2 D2",15
343,"C 3PO",11
343,"Jedi",5
344,"Bathroom",34
344,"Playground",22
344,"Hallway",17
344,"Alley",11
344,"Cafeteria",6
344,"Locker room",5
345,"Skydiving",48
345,"Hunting",16
345,"Flying",14
345,"Rock climbing",14
345,"Car racing",3
345,"Motorcycling",3
346,"Skydiving",48
346,"Hunting",16
346,"Flying",14
346,"Rock climbing",14
346,"Car racing",3
346,"Motorcycling",3
347,"Candles",28
347,"Centerpiece/Flowers",23
347,"Tablecloth",16
347,"Food",12
347,"Dishes",10
347,"Napkins",5
348,"Small",29
348,"Energetic",24
348,"Chews",18
348,"Big paws",11
348,"Puppy’s bark",9
348,"Not house trained",6
349,"Romance",40
349,"His feelings",36
349,"Clothes",9
349,"The marriage",5
349,"Finances",4
349,"Parenting",4
350,"Ice cream parlor",39
350,"Bathing suit store",21
350,"Amusement Parks",13
350,"Swimming Pool",7
350,"Air conditioning",5
350,"Parks and recreation",5
351,"Ball",44
351,"Frisbee",26
351,"Game/Contest",8
351,"Darts",7
351,"Tantrum",6
351,"Party",6
352,"Binoculars",23
352,"Camera",18
352,"Gun",16
352,"Car",13
352,"Clients",11
352,"Pen and paper",11
353,"Secretary",55
353,"Data Entry",14
353,"Accountant",10
353,"Writer",8
353,"Court Reporter",6
353,"Programmer",4
354,"Barbecue",45
354,"Sour Cream/Onion",14
354,"Salt and Vinegar",12
354,"Plain",11
354,"Cheddar",11
354,"Ranch",6
355,"Exercise",41
355,"Lose weight",24
355,"Eat healthier",9
355,"Go to the doctor",7
355,"Dye hair",6
355,"Retire",5
356,"Elephant",53
356,"Whale",15
356,"Bear",14
356,"Hippopotamous",7
356,"Lion",6
356,"Rhinoceros",5
357,"Pizza",28
357,"Noodles",26
357,"TV dinner",14
357,"Fast food",12
357,"Soup",8
357,"Sandwich",6
358,"Money",39
358,"Food",34
358,"Bed",15
358,"Bathroom",4
358,"Clothes",4
358,"Secrets",3
359,"Stop working",34
359,"Leak",28
359,"Ruin clothes",11
359,"Make noise",9
359,"Overflow",8
359,"Shake",3
360,"Drink",44
360,"Eat",21
360,"Talk",11
360,"Exchange gifts",10
360,"Dance",7
360,"Sing",2
361,"Parent",43
361,"Significant other",18
361,"Ex",17
361,"Best Friend",10
361,"Sibling",8
361,"Son/Daughter",3
362,"Kids",30
362,"Income",22
362,"Their job",14
362,"Bodies",12
362,"Their cars",9
362,"Sports ability",7
363,"Shirt",35
363,"Dress",26
363,"Shoes",13
363,"Hat",10
363,"Lipstick",6
363,"Swimsuit",6
364,"Singer",53
364,"Comedian",16
364,"Motivational Speaker",8
364,"Politician",7
364,"Dancer",5
364,"Teacher",4
365,"The Cowardly Lion",25
365,"The Tin man",24
365,"The Scarecrow",21
365,"Munchkins",10
365,"The Wizard",8
365,"The Wicked Witch",5
366,"Run",29
366,"Bend Over",22
366,"Tie shoes",15
366,"Sleep",13
366,"Exercise",9
366,"Walk",9
367,"Sleep schedule",37
367,"Crying",18
367,"How cute",14
367,"Feeding",13
367,"Changing diapers",11
367,"Weight",3
368,"16",55
368,"17",15
368,"18",14
368,"14",6
368,"15",5
368,"13",5
369,"13",30
369,"16",23
369,"12",18
369,"15",11
369,"14",10
369,"18",5
370,"7 Days",23
370,"5 Days",18
370,"10 Days",16
370,"14 Days",14
370,"3 Days",12
370,"4 Days",9
371,"Good",28
371,"Too Short",26
371,"Box Of Chocolates",21
371,"Beautiful",9
371,"A Bowl Of Cherries",8
371,"A Beach",5
372,"Food/Drinks",42
372,"Cable TV",27
372,"Hot Tub/Pool",11
372,"Alarm",7
372,"Internet Access",6
372,"Air Conditioning",3
373,"Sky/Clouds",46
373,"Birds",20
373,"Body Of Water",9
373,"Land",8
373,"Wings",8
373,"Another Plane",3
374,"Haunted",38
374,"Termites",28
374,"Mold",18
374,"Price Went Up",6
374,"Leaky Roof",5
374,"Bad Foundation",3
375,"Romance Novels",30
375,"Long Hair",26
375,"Commercials",20
375,"Handsome",9
375,"Model",5
375,"Bare Chest",4
376,"Mud/Dirt",43
376,"Sandbox",21
376,"Kiddie Pool",13
376,"Ball pit",8
376,"Tree/Playhouse",5
376,"Bath Tub",3
377,"Television",29
377,"Couch",17
377,"Refrigerator",15
377,"Microwave",14
377,"Table",8
377,"Bed",8
378,"Cologne/Aftershave",42
378,"Car",22
378,"Deodorant",17
378,"Shampoo",7
378,"Hair Growth Cream",4
378,"Beer",4
379,"Peanuts",40
379,"Doonsbury",13
379,"Garfield",13
379,"Blondie",12
379,"Boondocks",9
379,"Beetle Bailey",7
380,"Pain Reliever",26
380,"Lay Down",22
380,"Massage",16
380,"Heating Pad",14
380,"Chiropractor",10
380,"Bengay",6
381,"Cheetah",41
381,"Jaguar",24
381,"Tiger",13
381,"Cougar",5
381,"Horse",5
381,"Bird",4
382,"Clouds",41
382,"Lightning",39
382,"Bodies Of Water",6
382,"Other Planes",5
382,"Houses",4
382,"Birds",3
383,"Pots And Pans",44
383,"Spoons",25
383,"Glasses",11
383,"Wire Whisk",6
383,"Broom",4
383,"Blender",3
384,"Wine",31
384,"Martini",21
384,"Champagne",15
384,"Tea",15
384,"Margaritas",6
384,"Bloody Mary",6
385,"Scream",45
385,"Get Into Fight",21
385,"Argue With ref",17
385,"Swear",7
385,"Insult Players",3
385,"Bother Coach",3
386,"Drew Berrymore",27
386,"Michael Jackson",20
386,"Olsen Twins",16
386,"Jodie Foster",13
386,"Ron Howard",10
386,"Brooke Shields",8
387,"Fixing Hair",39
387,"Applying Makeup",21
387,"Shaving",18
387,"Dressing",7
387,"Showering",6
387,"Brushing Teeth",6
388,"Library",39
388,"Place Of Worship",16
388,"Parking",14
388,"Bedroom",12
388,"Bathroom",11
388,"By The Ocean",6
389,"Tutu",29
389,"Ballet shoes",25
389,"Balance/Poise",17
389,"Strong legs",14
389,"Talent",7
389,"Callused Feet",5
390,"Pen/Pencil",43
390,"Stapler",20
390,"Paperclip",18
390,"Tape",8
390,"Paper",7
390,"Candy",4
391,"Crib",48
391,"Clothes",30
391,"Diapers",10
391,"Stroller",4
391,"Bottles",3
391,"Car Seat",3
392,"Laundry",31
392,"Tolls",24
392,"Parking",15
392,"Soda/Snacks",13
392,"Pay Phone Calls",6
392,"Car Wash",4
393,"Buy Clothes",27
393,"Save Money",26
393,"Buy Crib",19
393,"Decorate Nursery",11
393,"Have Baby Shower",10
393,"Choose A Name",4
394,"A Wonderful Life",24
394,"White Christmas",22
394,"Miracle On 34th St",22
394,"Home Alone",12
394,"Nightmare Before",6
394,"Christmas Story",6
395,"Hair Stylist",45
395,"Musician",26
395,"Clown",15
395,"Scientist",5
395,"Model",3
395,"Comedian",3
396,"Car",39
396,"TV",23
396,"Air Conditioning",11
396,"Telephone",8
396,"Toilet Paper",6
396,"Computer",4
397,"Hospital",33
397,"Bathroom",29
397,"Bus Stop",15
397,"Jail",13
397,"Voting Booth",4
397,"Court/Lawyer",4
398,"Dirty Water",38
398,"Can’t Swim",35
398,"Cold",11
398,"Kids In It",5
398,"Clorine",3
398,"Crowded",3
399,"Titanic",43
399,"Lord Of The Rings",19
399,"Gone With The Wind",15
399,"Harry Potter",10
399,"King Kong",7
399,"Dances With Wolves",4
400,"Jacket",43
400,"Shirt",34
400,"Skirt",8
400,"Hat",6
400,"Vest",5
400,"Dress",4
401,"Runny Nose",43
401,"Cough",31
401,"Sneeze",12
401,"Sore Throat",7
401,"Fever",4
401,"Drowsiness",3
402,"Run Ahead",42
402,"Touch Anything",24
402,"Steal",14
402,"Scream/Cry",9
402,"Beg For Junk Food",4
402,"Eat Food",4
403,"Oprah Winfrey",47
403,"David Letterman",12
403,"Barbara Walters",9
403,"Jay Leno",8
403,"Jerry Springer",8
403,"Ellen",8
404,"Slip",30
404,"Appliance Falling In",22
404,"Phone Ring",15
404,"Power Goes Out",15
404,"Doorbell",5
404,"Fall Asleep",4
405,"Her waist",33
405,"Bust",30
405,"Her Hips",10
405,"Her Weight",7
405,"Butt Size",7
405,"Feet Size",6
406,"Tiger",36
406,"Lion",31
406,"Bob Cat",10
406,"Jaguar",6
406,"Leopard",6
406,"Feral",4
407,"Casino/Slots",32
407,"Money/Coins",25
407,"Poker Chips",13
407,"Bar/Restaurant",12
407,"Show Girls",9
407,"Fountain",6
408,"Soft Drinks",31
408,"Beer",27
408,"Ice",27
408,"Water",4
408,"Chicken",2
408,"Frosty Mug For Beer",2
409,"Can Talk",40
409,"Wears A Shirt",23
409,"He’s Yellow/Orange",11
409,"Has ‘Hunny’ Jar",10
409,"Friends With People",8
409,"Gentle",3
410,"Drive",42
410,"Kiss/Intimacy",27
410,"Swim",11
410,"Ride A Bike",6
410,"Go To School",5
410,"Get On A Plane",4
411,"Scarf",40
411,"Tie",31
411,"Identification",12
411,"Brace",7
411,"Keys",6
411,"Glasses",3
412,"Falls Asleep",42
412,"Yawning",26
412,"More Into You",12
412,"Talking Alot",9
412,"Bathroom Often",6
412,"Goes Home",3
413,"Mom",59
413,"Significant Other",20
413,"Dad",7
413,"Best Friend",5
413,"Sister",5
413,"Grandma",3
414,"Violin",27
414,"Flute",23
414,"Harp",20
414,"Piano",20
414,"Saxophone4Guitar",3
414,"Guitar",3
415,"Military Uniform",30
415,"Beard",25
415,"Cigar",23
415,"Hat",9
415,"Bandana",4
415,"Gun",3
416,"Socks",48
416,"Sweater/Sweatsuit",18
416,"Flannel PJs",16
416,"Long Johns",7
416,"Robe",5
416,"Hat",4
417,"Stripes",32
417,"Animals",17
417,"Argyle",14
417,"Flowers",12
417,"Polka Dots",10
417,"Hearts",9
418,"Living In Jungle",38
418,"His Yelling",17
418,"His Swinging",17
418,"Apes",13
418,"His Outfit",9
418,"His Odor",5
419,"Track",37
419,"Basketball",24
419,"Swimming",18
419,"Boxing",6
419,"Shotput",6
419,"Hockey",4
420,"Bathroom Break",28
420,"Comfortable Bed",22
420,"A Meal",18
420,"Intimacy",13
420,"A Bath",8
420,"Home",6
421,"Tag",31
421,"Dodge Ball",21
421,"Jump Rope",18
421,"Kickball",16
421,"Trampoline Use",6
421,"Hopscotch",5
422,"Attire",38
422,"lateness",21
422,"Personal Calls",15
422,"Office Gossip",11
422,"Attitude/Behavior",8
422,"Hygiene",3
423,"Hot",34
423,"Stormy/Violent",23
423,"Cold/Frigid",16
423,"Sunny",10
423,"Gloomy",9
423,"Icy",5
424,"Over Dinner",29
424,"With A Party",21
424,"In An Email",16
424,"Send Out Announcements",13
424,"By Phone",9
424,"In Person",6
425,"Medical Professional",35
425,"Cop",31
425,"Military",11
425,"Mail Carrier",8
425,"Prisoner",6
425,"Janitor",5
426,"Popcorn",40
426,"Nuts",31
426,"M&M",12
426,"Potato Chips",9
426,"Chocolate",2
426,"Jelly Bean",2
427,"Lipstick/Makeup",30
427,"Cash/Wallet",25
427,"Phone",22
427,"Hairbrush/Comb",11
427,"Pens/Pencils",5
427,"Keys",4
428,"Crying",43
428,"Diapers",22
428,"Expensive",11
428,"Sleepless nights",9
428,"College Tuition",4
428,"Kids Grow Up",4
429,"Magic Johnson",34
429,"Lyndon B Johnson",13
429,"Don Johnson",13
429,"Andrew Johnson",8
429,"Howard Johnson",7
429,"Lady Bird Johnson",5
430,"Dishes",34
430,"Ironing",25
430,"Sweeping",15
430,"Vacuuming",9
430,"Dusting",5
430,"Laundry",5
431,"Cook",51
431,"Clean",12
431,"Smoke Inside",11
431,"Play Loud Music",9
431,"Walk Around Naked",7
431,"Laundry",5
432,"Mail",72
432,"Tell Parents",8
432,"Email",6
432,"Tell Santa",4
432,"Prayers",2
432,"Leave Under The Tree",2
433,"Sunscreen",34
433,"Bathing suit",32
433,"Whistle",12
433,"Sunglasses",9
433,"Bullhorn",4
433,"Life preserver",3
434,"Vacuum",36
434,"TV",32
434,"Stereo",14
434,"Blender",6
434,"Phone",5
434,"Lights",4
435,"Stuart Little",43
435,"Little Bo Peep",26
435,"Little John",8
435,"Chicken little",6
435,"Lil red Riding Hood",6
435,"Little Boy Blue",5
436,"Cat",28
436,"Snake",24
436,"Bird",19
436,"Fish",15
436,"Hamster/Gerbil",8
436,"Lizard",3
